Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
άμαξα,Fem,άμαξα,άμαξας,άμαξα,άμαξα,άμαξες,αμαξών,άμαξες,άμαξες
άμμος,Fem,άμμος,άμμου,άμμο,άμμε,άμμοι,άμμων,άμμους,άμμοι
άμυνα,Fem,άμυνα,άμυνας,άμυνα,άμυνα,άμυνες,αμυνών,άμυνες,άμυνες
άνδρας,Masc,άνδρας,άνδρα,άνδρα,άνδρα,άνδρες,ανδρών,άνδρες,άνδρες
άνεμος,Masc,άνεμος,ανέμου,άνεμο,άνεμε,άνεμοι,ανέμων,ανέμους,άνεμοι
άνεση,Fem,άνεση,άνεσης,άνεση,άνεση,ανέσεις,ανέσεων,ανέσεις,ανέσεις
άνηθος,Masc,άνηθος,άνηθου,άνηθο,άνηθε,,,,
άνθος,Neut,άνθος,άνθους,άνθος,άνθος,άνθη,ανθέων,άνθη,άνθη
άνθρακας,Masc,άνθρακας,άνθρακα,άνθρακα,άνθρακα,άνθρακες,ανθράκων,άνθρακες,άνθρακες
άνθρωπος,Masc,άνθρωπος,ανθρώπου,άνθρωπο,άνθρωπε,άνθρωποι,ανθρώπων,ανθρώπους,άνθρωποι
άνοδος,Fem,άνοδος,ανόδου,άνοδο,άνοδο,άνοδοι,ανόδων,ανόδους,άνοδοι
άνοιγμα,Neut,άνοιγμα,ανοίγματος,άνοιγμα,άνοιγμα,ανοίγματα,ανοιγμάτων,ανοίγματα,ανοίγματα
άνοιξη,Fem,άνοιξη,άνοιξης,άνοιξη,άνοιξη,ανοίξεις,ανοίξεων,ανοίξεις,ανοίξεις
άντρας,Masc,άντρας,άντρα,άντρα,άντρα,άντρες,αντρών,άντρες,άντρες
άξονας,Masc,άξονας,άξονα,άξονα,άξονα,άξονες,αξόνων,άξονες,άξονες
άποψη,Fem,άποψη,άποψης,άποψη,άποψη,απόψεις,απόψεων,απόψεις,απόψεις
άργυρος,Masc,άργυρος,αργύρου,άργυρο,άργυρε,,,,
άρδευση,Fem,άρδευση,άρδευσης,άρδευση,άρδευση,αρδεύσεις,αρδεύσεων,αρδεύσεις,αρδεύσεις
άρθρο,Neut,άρθρο,άρθρου,άρθρο,άρθρο,άρθρα,άρθρων,άρθρα,άρθρα
άρθρωση,Fem,άρθρωση,άρθρωσης,άρθρωση,άρθρωση,αρθρώσεις,αρθρώσεων,αρθρώσεις,αρθρώσεις
άρνηση,Fem,άρνηση,άρνησης,άρνηση,άρνηση,αρνήσεις,αρνήσεων,αρνήσεις,αρνήσεις
άρπαγμα,Neut,άρπαγμα,αρπάγματος,άρπαγμα,άρπαγμα,αρπάγματα,αρπαγμάτων,αρπάγματα,αρπάγματα
άρρωστος,Masc,άρρωστος,αρρώστου,άρρωστο,άρρωστε,άρρωστοι,αρρώστων,αρρώστους,άρρωστοι
άρχοντας,Masc,άρχοντας,άρχοντα,άρχοντα,άρχοντα,άρχοντες,αρχόντων,άρχοντες,άρχοντες
άρωμα,Neut,άρωμα,αρώματος,άρωμα,άρωμα,αρώματα,αρωμάτων,αρώματα,αρώματα
άσθμα,Neut,άσθμα,άσθματος,άσθμα,άσθμα,άσθματα,ασθμάτων,άσθματα,άσθματα
άσκηση,Fem,άσκηση,άσκησης,άσκηση,άσκηση,ασκήσεις,ασκήσεων,ασκήσεις,ασκήσεις
άστρο,Neut,άστρο,άστρου,άστρο,άστρο,άστρα,άστρων,άστρα,άστρα
άσυλο,Neut,άσυλο,άσυλου,άσυλο,άσυλο,άσυλα,ασύλων,άσυλα,άσυλα
άτλαντας,Masc,άτλαντας,άτλαντα,άτλαντα,άτλαντα,άτλαντες,ατλάντων,άτλαντες,άτλαντες
άτομο,Neut,άτομο,ατόμου,άτομο,άτομο,άτομα,ατόμων,άτομα,άτομα
άφιξη,Fem,άφιξη,άφιξης,άφιξη,άφιξη,αφίξεις,αφίξεων,αφίξεις,αφίξεις
έγγραφο,Neut,έγγραφο,έγγραφου,έγγραφο,έγγραφο,έγγραφα,εγγράφων,έγγραφα,έγγραφα
έγκλημα,Neut,έγκλημα,εγκλήματος,έγκλημα,έγκλημα,εγκλήματα,εγκλημάτων,εγκλήματα,εγκλήματα
έγκριση,Fem,έγκριση,έγκρισης,έγκριση,έγκριση,εγκρίσεις,εγκρίσεων,εγκρίσεις,εγκρίσεις
έγκυος,Fem,έγκυος,εγκύου,έγκυο,έγκυο,έγκυοι,εγκύων,εγκύους,έγκυοι
έδαφος,Neut,έδαφος,εδάφους,έδαφος,έδαφος,εδάφη,εδαφών,εδάφη,εδάφη
έδρα,Fem,έδρα,έδρας,έδρα,έδρα,έδρες,εδρών,έδρες,έδρες
έθιμο,Neut,έθιμο,έθιμου,έθιμο,έθιμο,έθιμα,εθίμων,έθιμα,έθιμα
έθνος,Neut,έθνος,έθνους,έθνος,έθνος,έθνη,εθνών,έθνη,έθνη
έκδοση,Fem,έκδοση,έκδοσης,έκδοση,έκδοση,εκδόσεις,εκδόσεων,εκδόσεις,εκδόσεις
έκθεση,Fem,έκθεση,έκθεσης,έκθεση,έκθεση,εκθέσεις,εκθέσεων,εκθέσεις,εκθέσεις
έκκληση,Fem,έκκληση,έκκλησης,έκκληση,έκκληση,εκκλήσεις,εκκλήσεων,εκκλήσεις,εκκλήσεις
έκπληξη,Fem,έκπληξη,έκπληξης,έκπληξη,έκπληξη,εκπλήξεις,εκπλήξεων,εκπλήξεις,εκπλήξεις
έκπτωση,Fem,έκπτωση,έκπτωσης,έκπτωση,έκπτωση,εκπτώσεις,εκπτώσεων,εκπτώσεις,εκπτώσεις
έκρηξη,Fem,έκρηξη,έκρηξης,έκρηξη,έκρηξη,εκρήξεις,εκρήξεων,εκρήξεις,εκρήξεις
έκταση,Fem,έκταση,έκτασης,έκταση,έκταση,εκτάσεις,εκτάσεων,εκτάσεις,εκτάσεις
έκτρωση,Fem,έκτρωση,έκτρωσης,έκτρωση,έκτρωση,εκτρώσεις,εκτρώσεων,εκτρώσεις,εκτρώσεις
έκφραση,Fem,έκφραση,έκφρασης,έκφραση,έκφραση,εκφράσεις,εκφράσεων,εκφράσεις,εκφράσεις
έλαιο,Neut,έλαιο,ελαίου,έλαιο,έλαιο,έλαια,ελαίων,έλαια,έλαια
έλατο,Neut,έλατο,έλατου,έλατο,έλατο,έλατα,ελάτων,έλατα,έλατα
έλεγχος,Masc,έλεγχος,ελέγχου,έλεγχο,έλεγχε,έλεγχοι,ελέγχων,ελέγχους,έλεγχοι
έλεος,Neut,έλεος,ελέους,έλεος,έλεος,ελέη,-,ελέη,ελέη
έλλειμμα,Neut,έλλειμμα,ελλείμματος,έλλειμμα,έλλειμμα,ελλείμματα,ελλειμμάτων,ελλείμματα,ελλείμματα
έλλειψη,Fem,έλλειψη,έλλειψης,έλλειψη,έλλειψη,ελλείψεις,ελλείψεων,ελλείψεις,ελλείψεις
έλξη,Fem,έλξη,έλξης,έλξη,έλξη,έλξεις,έλξεων,έλξεις,έλξεις
έμβρυο,Neut,έμβρυο,έμβρυου,έμβρυο,έμβρυο,έμβρυα,εμβρύων,έμβρυα,έμβρυα
έμπνευση,Fem,έμπνευση,έμπνευσης,έμπνευση,έμπνευση,εμπνεύσεις,εμπνεύσεων,εμπνεύσεις,εμπνεύσεις
έμπορος,Masc,έμπορος,εμπόρου,έμπορο,έμπορε,έμποροι,εμπόρων,εμπόρους,έμποροι
έμφαση,Fem,έμφαση,έμφασης,έμφαση,έμφαση,εμφάσεις,εμφάσεων,εμφάσεις,εμφάσεις
έναρξη,Fem,έναρξη,έναρξης,έναρξη,έναρξη,ενάρξεις,ενάρξεων,ενάρξεις,ενάρξεις
ένδειξη,Fem,ένδειξη,ένδειξης,ένδειξη,ένδειξη,ενδείξεις,ενδείξεων,ενδείξεις,ενδείξεις
ένδυμα,Neut,ένδυμα,ενδύματος,ένδυμα,ένδυμα,ενδύματα,ενδυμάτων,ενδύματα,ενδύματα
ένεση,Fem,ένεση,ένεσης,ένεση,ένεση,ενέσεις,ενέσεων,ενέσεις,ενέσεις
έννοια,Fem,έννοια,έννοιας,έννοια,έννοια,έννοιες,εννοιών,έννοιες,έννοιες
ένοικος,Masc,ένοικος,ενοίκου,ένοικο,ένοικε,ένοικοι,ενοίκων,ενοίκους,ένοικοι
ένοχος,Masc,ένοχος,ενόχου,ένοχο,ένοχε,ένοχοι,ενόχων,ενόχους,ένοχοι
ένσταση,Fem,ένσταση,ένστασης,ένσταση,ένσταση,ενστάσεις,ενστάσεων,ενστάσεις,ενστάσεις
ένστικτο,Neut,ένστικτο,ένστικτου,ένστικτο,ένστικτο,ένστικτα,ενστίκτων,ένστικτα,ένστικτα
ένταλμα,Neut,ένταλμα,εντάλματος,ένταλμα,ένταλμα,εντάλματα,ενταλμάτων,εντάλματα,εντάλματα
ένταξη,Fem,ένταξη,ένταξης,ένταξη,ένταξη,εντάξεις,εντάξεων,εντάξεις,εντάξεις
ένταση,Fem,ένταση,έντασης,ένταση,ένταση,εντάσεις,εντάσεων,εντάσεις,εντάσεις
έντερο,Neut,έντερο,έντερου,έντερο,έντερο,έντερα,εντέρων,έντερα,έντερα
έντομο,Neut,έντομο,έντομου,έντομο,έντομο,έντομα,εντόμων,έντομα,έντομα
έντυπο,Neut,έντυπο,έντυπου,έντυπο,έντυπο,έντυπα,εντύπων,έντυπα,έντυπα
ένωση,Fem,ένωση,ένωσης,ένωση,ένωση,ενώσεις,ενώσεων,ενώσεις,ενώσεις
έξοδο,Neut,έξοδο,έξοδου,έξοδο,έξοδο,έξοδα,εξόδων,έξοδα,έξοδα
έξοδος,Fem,έξοδος,εξόδου,έξοδο,έξοδο,έξοδοι,εξόδων,εξόδους,έξοδοι
