Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
αντιπρόεδρος,Masc,αντιπρόεδρος,αντιπροέδρου,αντιπρόεδρο,αντιπρόεδρε,αντιπρόεδροι,αντιπροέδρων,αντιπροέδρους,αντιπρόεδροι
αντιπρόσωπος,Masc,αντιπρόσωπος,αντιπροσώπου,αντιπρόσωπο,αντιπρόσωπε,αντιπρόσωποι,αντιπροσώπων,αντιπροσώπους,αντιπρόσωποι
αντιστοιχία,Fem,αντιστοιχία,αντιστοιχίας,αντιστοιχία,αντιστοιχία,αντιστοιχίες,αντιστοιχιών,αντιστοιχίες,αντιστοιχίες
αντλία,Fem,αντλία,αντλίας,αντλία,αντλία,αντλίες,αντλιών,αντλίες,αντλίες
αντοχή,Fem,αντοχή,αντοχής,αντοχή,αντοχή,αντοχές,αντοχών,αντοχές,αντοχές
ανωμαλία,Fem,ανωμαλία,ανωμαλίας,ανωμαλία,ανωμαλία,ανωμαλίες,ανωμαλιών,ανωμαλίες,ανωμαλίες
ανώμαλος,Masc,ανώμαλος,ανωμάλου,ανώμαλο,ανώμαλε,ανώμαλοι,ανωμάλων,ανωμάλους,ανώμαλοι
αξία,Fem,αξία,αξίας,αξία,αξία,αξίες,αξιών,αξίες,αξίες
αξίωμα,Neut,αξίωμα,αξιώματος,αξίωμα,αξίωμα,αξιώματα,αξιωμάτων,αξιώματα,αξιώματα
αξίωση,Fem,αξίωση,αξίωσης,αξίωση,αξίωση,αξιώσεις,αξιώσεων,αξιώσεις,αξιώσεις
αξεσουάρ,Neut,,,,,,,,
αξιολόγηση,Fem,αξιολόγηση,αξιολόγησης,αξιολόγηση,αξιολόγηση,αξιολογήσεις,αξιολογήσεων,αξιολογήσεις,αξιολογήσεις
αξιοπιστία,Fem,αξιοπιστία,αξιοπιστίας,αξιοπιστία,αξιοπιστία,,,,
αξιοποίηση,Fem,αξιοποίηση,αξιοποίησης,αξιοποίηση,αξιοποίηση,,,,
αξιοπρέπεια,Fem,αξιοπρέπεια,αξιοπρέπειας,αξιοπρέπεια,αξιοπρέπεια,αξιοπρέπειες,αξιοπρεπειών,αξιοπρέπειες,αξιοπρέπειες
αξιωματικός,Masc,αξιωματικός,αξιωματικού,αξιωματικό,αξιωματικέ,αξιωματικοί,αξιωματικών,αξιωματικούς,αξιωματικοί
αξιωματούχος,Masc,αξιωματούχος,αξιωματούχου,αξιωματούχο,αξιωματούχε,αξιωματούχοι,αξιωματούχων,αξιωματούχους,αξιωματούχοι
απάνθρωπος,Masc,απάνθρωπος,απανθρώπου,απάνθρωπο,απάνθρωπε,απάνθρωποι,απανθρώπων,απανθρώπους,απάνθρωποι
απάντηση,Fem,απάντηση,απάντησης,απάντηση,απάντηση,απαντήσεις,απαντήσεων,απαντήσεις,απαντήσεις
απάτη,Fem,απάτη,απάτης,απάτη,απάτη,απάτες,απατών,απάτες,απάτες
απέλαση,Fem,απέλαση,απέλασης,απέλαση,απέλαση,απελάσεις,απελάσεων,απελάσεις,απελάσεις
απαίτηση,Fem,απαίτηση,απαίτησης,απαίτηση,απαίτηση,απαιτήσεις,απαιτήσεων,απαιτήσεις,απαιτήσεις
απαγωγή,Fem,απαγωγή,απαγωγής,απαγωγή,απαγωγή,απαγωγές,απαγωγών,απαγωγές,απαγωγές
απαγόρευση,Fem,απαγόρευση,απαγόρευσης,απαγόρευση,απαγόρευση,απαγορεύσεις,απαγορεύσεων,απαγορεύσεις,απαγορεύσεις
απαλλαγή,Fem,απαλλαγή,απαλλαγής,απαλλαγή,απαλλαγή,απαλλαγές,απαλλαγών,απαλλαγές,απαλλαγές
απαρίθμηση,Fem,απαρίθμηση,απαρίθμησης,απαρίθμηση,απαρίθμηση,απαριθμήσεις,απαριθμήσεων,απαριθμήσεις,απαριθμήσεις
απασχόληση,Fem,απασχόληση,απασχόλησης,απασχόληση,απασχόληση,απασχολήσεις,απασχολήσεων,απασχολήσεις,απασχολήσεις
απατεώνας,Masc,απατεώνας,απατεώνα,απατεώνα,απατεώνα,απατεώνες,απατεώνων,απατεώνες,απατεώνες
απείθεια,Fem,απείθεια,απείθειας,απείθεια,απείθεια,,,,
απεικόνιση,Fem,απεικόνιση,απεικόνισης,απεικόνιση,απεικόνιση,απεικονίσεις,απεικονίσεων,απεικονίσεις,απεικονίσεις
απειλή,Fem,απειλή,απειλής,απειλή,απειλή,απειλές,απειλών,απειλές,απειλές
απελευθέρωση,Fem,απελευθέρωση,απελευθέρωσης,απελευθέρωση,απελευθέρωση,απελευθερώσεις,απελευθερώσεων,απελευθερώσεις,απελευθερώσεις
απελπισία,Fem,απελπισία,απελπισίας,απελπισία,απελπισία,,,,
απεργία,Fem,απεργία,απεργίας,απεργία,απεργία,απεργίες,απεργιών,απεργίες,απεργίες
απεσταλμένος,Masc,απεσταλμένος,απεσταλμένου,απεσταλμένο,απεσταλμένε,απεσταλμένοι,απεσταλμένων,απεσταλμένους,απεσταλμένοι
αποβολή,Fem,αποβολή,αποβολής,αποβολή,αποβολή,αποβολές,αποβολών,αποβολές,αποβολές
απογοήτευση,Fem,απογοήτευση,απογοήτευσης,απογοήτευση,απογοήτευση,απογοητεύσεις,απογοητεύσεων,απογοητεύσεις,απογοητεύσεις
απογραφή,Fem,απογραφή,απογραφής,απογραφή,απογραφή,απογραφές,απογραφών,απογραφές,απογραφές
αποδέκτης,Masc,αποδέκτης,αποδέκτη,αποδέκτη,αποδέκτη,αποδέκτες,αποδεκτών,αποδέκτες,αποδέκτες
αποδεικτικό,Fem,αποδεικτικό,αποδεικτικού,αποδεικτικό,αποδεικτικό,αποδεικτικά,αποδεικτικών,αποδεικτικά,αποδεικτικά
αποδοτικότητα,Fem,αποδοτικότητα,αποδοτικότητας,αποδοτικότητα,αποδοτικότητα,αποδοτικότητες,αποδοτικοτήτων,αποδοτικότητες,αποδοτικότητες
αποδοχή,Fem,αποδοχή,αποδοχής,αποδοχή,αποδοχή,αποδοχές,αποδοχών,αποδοχές,αποδοχές
αποδυτήριο,Neut,αποδυτήριο,αποδυτήριου,αποδυτήριο,αποδυτήριο,αποδυτήρια,αποδυτηρίων,αποδυτήρια,αποδυτήρια
αποζημίωση,Fem,αποζημίωση,αποζημίωσης,αποζημίωση,αποζημίωση,αποζημιώσεις,αποζημιώσεων,αποζημιώσεις,αποζημιώσεις
αποθήκευση,Fem,αποθήκευση,αποθήκευσης,αποθήκευση,αποθήκευση,αποθηκεύσεις,αποθηκεύσεων,αποθηκεύσεις,αποθηκεύσεις
αποθήκη,Fem,αποθήκη,αποθήκης,αποθήκη,αποθήκη,αποθήκες,αποθηκών,αποθήκες,αποθήκες
αποικία,Fem,αποικία,αποικίας,αποικία,αποικία,αποικίες,αποικιών,αποικίες,αποικίες
αποκάλυψη,Fem,αποκάλυψη,αποκάλυψης,αποκάλυψη,αποκάλυψη,αποκαλύψεις,αποκαλύψεων,αποκαλύψεις,αποκαλύψεις
αποκατάσταση,Fem,αποκατάσταση,αποκατάστασης,αποκατάσταση,αποκατάσταση,αποκαταστάσεις,αποκαταστάσεων,αποκαταστάσεις,αποκαταστάσεις
αποκλεισμός,Masc,αποκλεισμός,αποκλεισμού,αποκλεισμό,αποκλεισμέ,αποκλεισμοί,αποκλεισμών,αποκλεισμούς,αποκλεισμοί
αποκοπή,Fem,αποκοπή,αποκοπής,αποκοπή,αποκοπή,,,,
αποκορύφωμα,Neut,αποκορύφωμα,αποκορυφώματος,αποκορύφωμα,αποκορύφωμα,αποκορυφώματα,αποκορυφωμάτων,αποκορυφώματα,αποκορυφώματα
απολογισμός,Masc,απολογισμός,απολογισμού,απολογισμό,απολογισμέ,απολογισμοί,απολογισμών,απολογισμούς,απολογισμοί
απομάκρυνση,Fem,απομάκρυνση,απομάκρυνσης,απομάκρυνση,απομάκρυνση,απομακρύνσεις,απομακρύνσεων,απομακρύνσεις,απομακρύνσεις
απομόνωση,Fem,απομόνωση,απομόνωσης,απομόνωση,απομόνωση,απομονώσεις,απομονώσεων,απομονώσεις,απομονώσεις
απορία,Fem,απορία,απορίας,απορία,απορία,απορίες,αποριών,απορίες,απορίες
απορρυπαντικό,Neut,απορρυπαντικό,απορρυπαντικού,απορρυπαντικό,απορρυπαντικό,απορρυπαντικά,απορρυπαντικών,απορρυπαντικά,απορρυπαντικά
απορρόφηση,Fem,απορρόφηση,απορρόφησης,απορρόφηση,απορρόφηση,απορροφήσεις,απορροφήσεων,απορροφήσεις,απορροφήσεις
αποσκευή,Fem,αποσκευή,αποσκευής,αποσκευή,αποσκευή,αποσκευές,αποσκευών,αποσκευές,αποσκευές
αποστολέας,Masc,αποστολέας,αποστολέως,αποστολέα,αποστολέα,αποστολείς,αποστολέων,αποστολείς,αποστολείς
αποστολή,Fem,αποστολή,αποστολής,αποστολή,αποστολή,αποστολές,αποστολών,αποστολές,αποστολές
αποσύνθεση,Fem,αποσύνθεση,αποσύνθεσης,αποσύνθεση,αποσύνθεση,αποσυνθέσεις,αποσυνθέσεων,αποσυνθέσεις,αποσυνθέσεις
αποτέλεσμα,Neut,αποτέλεσμα,αποτελέσματος,αποτέλεσμα,αποτέλεσμα,αποτελέσματα,αποτελεσμάτων,αποτελέσματα,αποτελέσματα
αποτελεσματικότητα,Fem,αποτελεσματικότητα,αποτελεσματικότητας,αποτελεσματικότητα,αποτελεσματικότητα,,,,
αποτυχία,Fem,αποτυχία,αποτυχίας,αποτυχία,αποτυχία,αποτυχίες,αποτυχιών,αποτυχίες,αποτυχίες
απουσία,Fem,απουσία,απουσίας,απουσία,απουσία,απουσίες,απουσιών,απουσίες,απουσίες
αποφασιστικότητα,Fem,αποφασιστικότητα,αποφασιστικότητας,αποφασιστικότητα,αποφασιστικότητα,,,,
αποφυγή,Fem,αποφυγή,αποφυγής,αποφυγή,αποφυγή,,,,
αποχέτευση,Fem,αποχέτευση,αποχέτευσης,αποχέτευση,αποχέτευση,αποχετεύσεις,αποχετεύσεων,αποχετεύσεις,αποχετεύσεις
αποχή,Fem,αποχή,αποχής,αποχή,αποχή,αποχές,αποχών,αποχές,αποχές
αποχαιρετισμός,Masc,αποχαιρετισμός,αποχαιρετισμού,αποχαιρετισμό,αποχαιρετισμέ,αποχαιρετισμοί,αποχαιρετισμών,αποχαιρετισμούς,αποχαιρετισμοί
αποχωρητήριο,Neut,αποχωρητήριο,αποχωρητήριου,αποχωρητήριο,αποχωρητήριο,αποχωρητήρια,αποχωρητηρίων,αποχωρητήρια,αποχωρητήρια
αποχώρηση,Neut,αποχώρηση,αποχώρησης,αποχώρηση,αποχώρηση,αποχωρήσεις,αποχωρήσεων,αποχωρήσεις,αποχωρήσεις
απόβλητα,Neut,,,,,απόβλητα,αποβλήτων,απόβλητα,απόβλητα
απόγευμα,Neut,απόγευμα,απογεύματος,απόγευμα,απόγευμα,απογεύματα,απογευμάτων,απογεύματα,απογεύματα
απόγονος,Masc,απόγονος,απογόνου,απόγονο,απόγονε,απόγονοι,απογόνων,απογόνους,απόγονοι
απόδειξη,Fem,απόδειξη,απόδειξης,απόδειξη,απόδειξη,αποδείξεις,αποδείξεων,αποδείξεις,αποδείξεις
απόδοση,Fem,απόδοση,απόδοσης,απόδοση,απόδοση,αποδόσεις,αποδόσεων,αποδόσεις,αποδόσεις
απόδραση,Fem,απόδραση,απόδρασης,απόδραση,απόδραση,αποδράσεις,αποδράσεων,αποδράσεις,αποδράσεις
απόθεμα,Fem,απόθεμα,αποθέματος,απόθεμα,απόθεμα,αποθέματα,αποθεμάτων,αποθέματα,αποθέματα
απόκλιση,Fem,αγιογράφος,αγιογράφου,αγιογράφο,αγιογράφε,αγιογράφοι,αγιογράφων,αγιογράφους,αγιογράφοι
απόκομμα,Neut,απόκομμα,αποκόμματος,απόκομμα,απόκομμα,αποκόμματα,αποκομμάτων,αποκόμματα,αποκόμματα
απόκριση,Fem,απόκριση,απόκρισης,απόκριση,απόκριση,αποκρίσεις,αποκρίσεων,αποκρίσεις,αποκρίσεις
απόκρυψη,Fem,απόκρυψη,απόκρυψης,απόκρυψη,απόκρυψη,αποκρύψεις,αποκρύψεων,αποκρύψεις,αποκρύψεις
απόκτηση,Fem,απόκτηση,απόκτησης,απόκτηση,απόκτηση,αποκτήσεις,αποκτήσεων,αποκτήσεις,αποκτήσεις
απόλαυση,Fem,απόλαυση,απόλαυσης,απόλαυση,απόλαυση,απολαύσεις,απολαύσεων,απολαύσεις,απολαύσεις
απόλυση,Fem,απόλυση,απόλυσης,απόλυση,απόλυση,απολύσεις,απολύσεων,απολύσεις,απολύσεις
απόλυτα,Neut,,,,,,,,
απόπειρα,Fem,απόπειρα,απόπειρας,απόπειρα,απόπειρα,απόπειρες,αποπειρών,απόπειρες,απόπειρες
απόρριψη,Fem,απόρριψη,απόρριψης,απόρριψη,απόρριψη,απορρίψεις,απορρίψεων,απορρίψεις,απορρίψεις
απόσπασμα,Neut,απόσπασμα,αποσπάσματος,απόσπασμα,απόσπασμα,αποσπάσματα,αποσπασμάτων,αποσπάσματα,αποσπάσματα
απόσταση,Fem,απόσταση,απόστασης,απόσταση,απόσταση,αποστάσεις,αποστάσεων,αποστάσεις,αποστάσεις
απόστολος,Masc,απόστολος,αποστόλου,απόστολο,απόστολε,απόστολοι,αποστόλων,αποστόλους,απόστολοι
απόφαση,Fem,απόφαση,απόφασης,απόφαση,απόφαση,αποφάσεις,αποφάσεων,αποφάσεις,αποφάσεις
απόφοιτος,Masc,απόφοιτος,αποφοίτου,απόφοιτο,απόφοιτε,απόφοιτοι,αποφοίτων,αποφοίτους,απόφοιτοι
απόχρωση,Fem,απόχρωση,απόχρωσης,απόχρωση,απόχρωση,αποχρώσεις,αποχρώσεων,αποχρώσεις,αποχρώσεις
απώλεια,Fem,απώλεια,απώλειας,απώλεια,απώλεια,απώλειες,απωλειών,απώλειες,απώλειες
απών,Masc,απών,απόντος,απόντα,απών,απόντες,απόντων,απόντες,απόντες
αράχνη,Fem,αράχνη,αράχνης,αράχνη,αράχνη,αράχνες,αραχνών,αράχνες,αράχνες
αρένα,Fem,αρένα,αρένας,αρένα,αρένα,αρένες,αρένων,αρένες,αρένες
αργία,Fem,αργία,αργίας,αργία,αργία,αργίες,αργιών,αργίες,αργίες
αρετή,Fem,αρετή,αρετής,αρετή,αρετή,αρετές,αρετών,αρετές,αρετές
αριθμητική,Fem,αριθμητική,αριθμητικής,αριθμητική,αριθμητική,αριθμητικές,αριθμητικών,αριθμητικές,αριθμητικές
αριθμός,Masc,αριθμός,αριθμού,αριθμό,αριθμέ,αριθμοί,αριθμών,αριθμούς,αριθμοί
αριστερά,Fem,αριστερά,αριστεράς,αριστερά,αριστερά,,,,
αριστοκράτης,Masc,αριστοκράτης,αριστοκράτη,αριστοκράτη,αριστοκράτη,αριστοκράτες,αριστοκρατών,αριστοκράτες,αριστοκράτες
αριστούργημα,Neut,αριστούργημα,αριστουργήματος,αριστούργημα,αριστούργημα,αριστουργήματα,αριστουργημάτων,αριστουργήματα,αριστουργήματα
αρκούδα,Fem,αρκούδα,αρκούδας,αρκούδα,αρκούδα,αρκούδες,αρκούδων,αρκούδες,αρκούδες
αρμοδιότητα,Fem,αρμοδιότητα,αρμοδιότητας,αρμοδιότητα,αρμοδιότητα,αρμοδιότητες,αρμοδιοτήτων,αρμοδιότητες,αρμοδιότητες
αρμονία,Fem,αρμονία,αρμονίας,αρμονία,αρμονία,αρμονίες,αρμονιών,αρμονίες,αρμονίες
αρμόδιος,Masc,αρμόδιος,αρμοδίου,αρμόδιο,αρμόδιε,αρμόδιοι,αρμοδίων,αρμοδίους,αρμόδιοι
αρνί,Neut,αρνί,αρνιού,αρνί,αρνί,αρνιά,αρνιών,αρνιά,αρνιά
αρουραίος,Masc,αρουραίος,αρουραίου,αρουραίο,αρουραίε,αρουραίοι,αρουραίων,αρουραίους,αρουραίοι
αρραβωνιαστικιά,Fem,αρραβωνιαστικιά,αρραβωνιαστικιάς,αρραβωνιαστικιά,αρραβωνιαστικιά,αρραβωνιαστικιές,αρραβωνιαστικιών,αρραβωνιαστικιές,αρραβωνιαστικιές
αρραβωνιαστικός,Masc,αρραβωνιαστικός,αρραβωνιαστικού,αρραβωνιαστικό,αρραβωνιαστικέ,αρραβωνιαστικοί,αρραβωνιαστικών,αρραβωνιαστικούς,αρραβωνιαστικοί
αρρώστια,Fem,αρρώστια,αρρώστιας,αρρώστια,αρρώστια,αρρώστιες,αρρωστιών,αρρώστιες,αρρώστιες
αρσενικό,Neut,αρσενικό,αρσενικού,αρσενικό,αρσενικό,,,,
αρχή,Fem,αρχή,αρχής,αρχή,αρχή,αρχές,αρχών,αρχές,αρχές
αρχαιολόγος,Masc,αρχαιολόγος,αρχαιολόγου,αρχαιολόγο,αρχαιολόγε,αρχαιολόγοι,αρχαιολόγων,αρχαιολόγους,αρχαιολόγοι
αρχαιότητα,Fem,αρχαιότητα,αρχαιότητας,αρχαιότητα,αρχαιότητα,αρχαιότητες,αρχαιοτήτων,αρχαιότητες,αρχαιότητες
αρχείο,Neut,αρχείο,αρχείου,αρχείο,αρχείο,αρχεία,αρχείων,αρχεία,αρχεία
αρχηγός,Masc,αρχηγός,αρχηγού,αρχηγό,αρχηγέ,αρχηγοί,αρχηγών,αρχηγούς,αρχηγοί
αρχιεπίσκοπος,Masc,αρχιεπίσκοπος,αρχιεπισκόπου,αρχιεπίσκοπο,αρχιεπίσκοπε,αρχιεπίσκοποι,αρχιεπισκόπων,αρχιεπισκόπους,αρχιεπίσκοποι
αρχικά,Neut,,,,,αρχικά,αρχικών,αρχικά,αρχικά
αρχιπέλαγος,Neut,αρχιπέλαγος,αρχιπελάγους,αρχιπέλαγος,αρχιπέλαγος,αρχιπελάγη,αρχιπελαγών,αρχιπελάγη,αρχιπελάγη
αρχισυντάκτης,Masc,αρχισυντάκτης,αρχισυντάκτη,αρχισυντάκτη,αρχισυντάκτη,αρχισυντάκτες,αρχισυντακτών,αρχισυντάκτες,αρχισυντάκτες
αρχιτέκτονας,Masc,αρχιτέκτονας,αρχιτέκτονα,αρχιτέκτονα,αρχιτέκτονα,αρχιτέκτονες,αρχιτεκτόνων,αρχιτέκτονες,αρχιτέκτονες
αρχιτεκτονική,Fem,αρχιτεκτονική,αρχιτεκτονικής,αρχιτεκτονική,αρχιτεκτονική,αρχιτεκτονικές,αρχιτεκτονικών,αρχιτεκτονικές,αρχιτεκτονικές
ασήμι,Neut,ασήμι,ασημιού,ασήμι,ασήμι,ασήμια,ασημιών,ασήμια,ασήμια
ασανσέρ,Neut,,,,,,,,
ασβέστιο,Neut,ασβέστιο,ασβέστιου,ασβέστιο,ασβέστιο,ασβέστια,ασβέστιων,ασβέστια,ασβέστια
ασθένεια,Fem,ασθένεια,ασθένειας,ασθένεια,ασθένεια,ασθένειες,ασθενειών,ασθένειες,ασθένειες
ασθενής,Masc,ασθενής,ασθενούς,ασθενή,ασθενή,ασθενείς,ασθενών,ασθενείς,ασθενείς
ασκών,Masc,,,,,,,,
ασπίδα,Fem,ασπίδα,ασπίδας,ασπίδα,ασπίδα,ασπίδες,ασπίδων,ασπίδες,ασπίδες
αστέρας,Masc,αστέρας,αστέρα,αστέρα,αστέρα,αστέρες,αστέρων,αστέρες,αστέρες
αστέρι,Neut,αστέρι,αστεριού,αστέρι,αστέρι,αστέρια,αστεριών,αστέρια,αστέρια
αστείο,Neut,αστείο,αστείου,αστείο,αστείο,αστεία,αστείων,αστεία,αστεία
αστράγαλος,Masc,αστράγαλος,αστραγάλου,αστράγαλο,αστράγαλε,αστράγαλοι,αστραγάλων,αστραγάλους,αστράγαλοι
αστραπή,Fem,αστραπή,αστραπής,αστραπή,αστραπή,αστραπές,αστραπών,αστραπές,αστραπές
αστυνομία,Fem,αστυνομία,αστυνομίας,αστυνομία,αστυνομία,αστυνομίες,αστυνομιών,αστυνομίες,αστυνομίες
αστυνομικός,Masc,αστυνομικός,αστυνομικού,αστυνομικό,αστυνομικέ,αστυνομικοί,αστυνομικών,αστυνομικούς,αστυνομικοί
αστός,Masc,αστός,αστού,αστό,αστέ,αστοί,αστών,αστούς,αστοί
ασφάλεια,Fem,ασφάλεια,ασφάλειας,ασφάλεια,ασφάλεια,ασφάλειες,ασφαλειών,ασφάλειες,ασφάλειες
ασφάλιση,Fem,ασφάλιση,ασφάλισης,ασφάλιση,ασφάλιση,ασφαλίσεις,ασφαλίσεων,ασφαλίσεις,ασφαλίσεις
ασύρματος,Masc,ασύρματος,ασυρμάτου,ασύρματο,ασύρματε,ασύρματοι,ασυρμάτων,ασυρμάτους,ασύρματοι
ατέλεια,Fem,ατέλεια,ατέλειας,ατέλεια,ατέλεια,ατέλειες,ατελειών,ατέλειες,ατέλειες
ατζέντα,Fem,ατζέντα,ατζέντας,ατζέντα,ατζέντα,ατζέντες,-,ατζέντες,ατζέντες
ατμός,Masc,ατμός,ατμού,ατμό,ατμέ,ατμοί,ατμών,ατμούς,ατμοί
ατμόσφαιρα,Fem,ατμόσφαιρα,ατμόσφαιρας,ατμόσφαιρα,ατμόσφαιρα,ατμόσφαιρες,ατμοσφαιρών,ατμόσφαιρες,ατμόσφαιρες
ατσάλι,Neut,ατσάλι,ατσαλιού,ατσάλι,ατσάλι,ατσάλια,ατσαλιών,ατσάλια,ατσάλια
ατυχία,Fem,ατυχία,ατυχίας,ατυχία,ατυχία,ατυχίες,ατυχιών,ατυχίες,ατυχίες
ατύχημα,Neut,ατύχημα,ατυχήματος,ατύχημα,ατύχημα,ατυχήματα,ατυχημάτων,ατυχήματα,ατυχήματα
αυγή,Fem,αυγή,αυγής,αυγή,αυγή,αυγές,αυγών,αυγές,αυγές
αυθαίρετα,Neut,,,,,,,,
αυλή,Fem,αυλή,αυλής,αυλή,αυλή,αυλές,αυλών,αυλές,αυλές
αυταπάτη,Fem,αυταπάτη,αυταπάτης,αυταπάτη,αυταπάτη,αυταπάτες,αυταπατών,αυταπάτες,αυταπάτες
αυτοκίνητο,Neut,αυτοκίνητο,αυτοκίνητου,αυτοκίνητο,αυτοκίνητο,αυτοκίνητα,αυτοκινήτων,αυτοκίνητα,αυτοκίνητα
αυτοκινητόδρομος,Masc,αυτοκινητόδρομος,αυτοκινητοδρόμου,αυτοκινητόδρομο,αυτοκινητόδρομε,αυτοκινητόδρομοι,αυτοκινητοδρόμων,αυτοκινητοδρόμους,αυτοκινητόδρομοι
αυτοκράτορας,Masc,αυτοκράτορας,αυτοκράτορα,αυτοκράτορα,αυτοκράτορα,αυτοκράτορες,αυτοκρατόρων,αυτοκράτορες,αυτοκράτορες
αυτοκρατορία,Fem,αυτοκρατορία,αυτοκρατορίας,αυτοκρατορία,αυτοκρατορία,αυτοκρατορίες,αυτοκρατοριών,αυτοκρατορίες,αυτοκρατορίες
αυτοκτονία,Fem,αυτοκτονία,αυτοκτονίας,αυτοκτονία,αυτοκτονία,αυτοκτονίες,αυτοκτονιών,αυτοκτονίες,αυτοκτονίες
αυτοκόλλητο,Neut,αυτοκόλλητο,αυτοκόλλητου,αυτοκόλλητο,αυτοκόλλητο,αυτοκόλλητα,αυτοκόλλητων,αυτοκόλλητα,αυτοκόλλητα
αυτονομία,Fem,αυτονομία,αυτονομίας,αυτονομία,αυτονομία,αυτονομίες,αυτονομιών,αυτονομίες,αυτονομίες
αυτοπεποίθηση,Fem,αυτοπεποίθηση,αυτοπεποίθησης,αυτοπεποίθηση,αυτοπεποίθηση,,,,
αυτόματα,Neut,,,,,,,,
αυχένας,Masc,αυχένας,αυχένα,αυχένα,αυχένα,αυχένες,αυχένων,αυχένες,αυχένες
αφέντης,Masc,αφέντης,αφέντη,αφέντη,αφέντη,αφεντάδες,αφεντάδων,αφεντάδες,αφεντάδες
αφή,Fem,αφή,αφής,αφή,αφή,αφές,αφών,αφές,αφές
αφήγηση,Fem,αφήγηση,αφήγησης,αφήγηση,αφήγηση,αφηγήσεις,αφηγήσεων,αφηγήσεις,αφηγήσεις
αφίσα,Fem,αφίσα,αφίσας,αφίσα,αφίσα,αφίσες,αφισών,αφίσες,αφίσες
αφαίρεση,Fem,αφαίρεση,αφαίρεσης,αφαίρεση,αφαίρεση,αφαιρέσεις,αφαιρέσεων,αφαιρέσεις,αφαιρέσεις
αφεντικό,Neut,αφεντικό,αφεντικού,αφεντικό,αφεντικό,αφεντικά,αφεντικών,αφεντικά,αφεντικά
αφετηρία,Fem,αφετηρία,αφετηρίας,αφετηρία,αφετηρία,αφετηρίες,αφετηριών,αφετηρίες,αφετηρίες
αφθονία,Fem,αφθονία,αφθονίας,αφθονία,αφθονία,,,,
αφιέρωμα,Neut,αφιέρωμα,αφιερώματος,αφιέρωμα,αφιέρωμα,αφιερώματα,αφιερωμάτων,αφιερώματα,αφιερώματα
αφορμή,Fem,αφορμή,αφορμής,αφορμή,αφορμή,αφορμές,αφορμών,αφορμές,αφορμές
αφοσίωση,Fem,αφοσίωση,αφοσίωσης,αφοσίωση,αφοσίωση,αφοσιώσεις,αφοσιώσεων,αφοσιώσεις,αφοσιώσεις
αφρόλουτρο,Neut,αφρόλουτρο,αφρόλουτρου,αφρόλουτρο,αφρόλουτρο,αφρόλουτρα,αφρόλουτρων,αφρόλουτρα,αφρόλουτρα
αφτί,Neut,αφτί,αφτιού,αφτί,αφτί,αφτιά,αφτιών,αφτιά,αφτιά
αχλάδι,Neut,αχλάδι,αχλαδιού,αχλάδι,αχλάδι,αχλάδια,αχλαδιών,αχλάδια,αχλάδια
αχυρώνας,Masc,αχυρώνας,αχυρώνα,αχυρώνα,αχυρώνα,αχυρώνες,αχυρώνων,αχυρώνες,αχυρώνες
αόριστος,Masc,αόριστος,αορίστου,αόριστο,αόριστε,αόριστοι,αορίστων,αορίστους,αόριστοι
αύξηση,Fem,αύξηση,αύξησης,αύξηση,αύξηση,αυξήσεις,αυξήσεων,αυξήσεις,αυξήσεις
αύριο,Fem,,,,,,,,
βάθος,Neut,βάθος,βάθους,βάθος,βάθος,βάθη,βαθών,βάθη,βάθη
βάλτος,Masc,βάλτος,βάλτου,βάλτο,βάλτε,βάλτοι,βάλτων,βάλτους,βάλτοι
βάπτισμα,Neut,βάπτισμα,βαπτίσματος,βάπτισμα,βάπτισμα,βαπτίσματα,βαπτισμάτων,βαπτίσματα,βαπτίσματα
βάρδια,Fem,βάρδια,βάρδιας,βάρδια,βάρδια,βάρδιες,βαρδιών,βάρδιες,βάρδιες
βάρκα,Fem,βάρκα,βάρκας,βάρκα,βάρκα,βάρκες,-,βάρκες,βάρκες
βάρος,Neut,βάρος,βάρους,βάρος,βάρος,βάρη,βαρών,βάρη,βάρη
βάσανο,Neut,βάσανο,βάσανου,βάσανο,βάσανο,βάσανα,βασάνων,βάσανα,βάσανα
βάση,Fem,βάση,βάσης,βάση,βάση,βάσεις,βάσεων,βάσεις,βάσεις
βάτραχος,Masc,βάτραχος,βατράχου,βάτραχο,βάτραχε,βάτραχοι,βατράχων,βατράχους,βάτραχοι
βάφτιση,Fem,βάφτιση,βάφτισης,βάφτιση,βάφτιση,βαφτίσεις,βαφτίσεων,βαφτίσεις,βαφτίσεις
βέλος,Neut,βέλος,βέλους,βέλος,βέλος,βέλη,βελών,βέλη,βέλη
βήμα,Neut,βήμα,βήματος,βήμα,βήμα,βήματα,βημάτων,βήματα,βήματα
βήχας,Masc,βήχας,βήχα,βήχα,βήχα,βήχες,-,βήχες,βήχες
βία,Fem,βία,βίας,βία,βία,,,,
βίζα,Fem,βίζα,βίζας,βίζα,βίζα,βίζες,βιζών,βίζες,βίζες
βίντεο,Neut,βίντεο,βίντεου,βίντεο,βίντεο,βίντεα,βίντεων,βίντεα,βίντεα
